hood,family vs single,expensiveness,Age
University District,-0.175345375596,0.0121388762763,-0.267316287687
Magnolia,0.0498247639725,-0.104869076775,0.0257448389562
Greenwood,-0.0325858683684,0.0480080812837,-0.0516571860715
Wallingford,-0.0969197081381,-0.0867995898036,-0.202515563761
Beacon Hill,0.125152374568,0.141697013958,0.0529814988172
Fremont,-0.176640769734,-0.051566592507,-0.178246213717
Ravenna,0.00837809357392,-0.0361202040865,-0.0919186275865
First Hill,-0.314538744936,0.0910402269324,0.0513771954724
Admiral,0.0555809469526,-0.0234349348236,0.0702462951023
Maple Leaf,0.00655050085851,0.0427874497893,-0.0328525613864
Belltown,-0.235136428723,-0.0363102823199,-0.117176963799
Phinney Ridge,-0.00027596132416,-0.0464349311242,-0.113231248235
Green Lake,-0.0696930098989,-0.0367530553996,-0.0762740918405
Haller Lake,0.0194086056215,0.104011230406,0.105987830231
Broadview,0.0744211349408,0.0104458932265,0.216461828866
Bitter Lake,-0.0557820207496,0.0742826977646,0.296173842124
Olympic Hills,0.0234704747642,0.0910434404855,0.0568020964491
Wedgwood,0.105572173745,-0.00832490795928,-0.00843545389832
Loyal Heights,0.0706571938196,-0.00855866879637,-0.0135814885615
Ballard,-0.141994543555,0.0319679815459,0.0600001274964
Columbia City,0.0548531736232,0.169366176351,-0.0618694812505
Alki,-0.00594530096937,-0.0476985245923,0.0601682623301
Brighton,0.108309417084,0.163397547132,0.0301097078206
Downtown,-0.210334679675,-0.220592379286,0.0803118167053
North College Park,-0.108566621087,0.0744098328948,-0.117185272394
High Point,0.00316713189509,0.182053843383,-0.165011446206
Rainier Beach,0.12532268941,0.195778496176,0.00396601680805
Highland Park,0.106217694649,0.168680346308,-0.150336196576
Sunset Hill,0.0264617349659,-0.0676056756603,0.0345467468802
Matthews Beach,0.154617703075,0.0369371397306,0.0546389591419
South Delridge,0.0241957109899,0.196324187015,-0.0700747512537
Eastlake,-0.213034621863,-0.0403252134413,-0.126410249302
Arbor Heights,0.162033283869,0.102025494592,0.0487808361997
Cedar Park,-0.0214959402918,0.123351324154,0.00958689043216
Fauntleroy,0.113815915465,0.0121026993188,0.166727963778
Pinehurst,0.0143280790279,0.103324839194,0.0979238945488
Lower Queen Anne,-0.258172810435,-0.0981629803962,0.0160951279187
Victory Heights,-0.0111718484481,0.117786755893,-0.0791136507121
Leschi,0.0250245977609,-0.0602348614783,-0.030726118911
Laurelhurst,0.177589776872,-0.298192168426,-0.00642765710067
Roxhill,0.0666401407252,0.142454359512,-0.0455406459355
Whittier Heights,0.032982935224,0.00549876841106,-0.0499211868543
Bryant,0.095210949826,-0.0738610696925,-0.016541106927
Roosevelt,-0.065079078893,0.0145318421492,-0.168282355537
Westlake,-0.191027349591,0.00221423765226,-0.0124580299126
Interbay,-0.0957628836074,-0.00864221113316,-0.0376386930936
Madison Park,0.00635265911622,-0.308098709325,0.234587539545
View Ridge,0.118034420384,-0.068810999005,0.113696302656
Mount Baker,0.0874187839372,-0.0410707891962,0.00640601508524
Central District,-0.137270338589,0.0135747618055,-0.00141899652785
Madison Valley,-0.0535357930773,-0.055811570565,-0.0429074072835
Madrona,0.094364582434,-0.147530686538,-0.0224784134859
South Park,0.0615487582049,0.230541772791,-0.191634690671
North Delridge,-0.0243472910101,0.128557758252,-0.145897315947
Meadowbrook,0.0476421307249,0.0582183929416,-0.0520624879276
Riverview,0.132208200283,0.156267878266,-0.145409210311
Seward Park,0.140187662899,-0.0162191455184,0.0364866048244
Montlake,0.121428662634,-0.208921222455,-0.129242514792
Northgate,-0.132898867209,0.166930978294,0.170158486149
International District,-0.163873998155,0.0298545141801,0.334685658381
South Lake Union,-0.0507908216178,0.0208799188169,-0.00905525618127
Crown Hill,0.00491536380133,0.0399062334638,0.033635276566
North Beach,0.15140258754,-0.163884900355,0.164672472228
Windermere,0.176993206072,-0.238230820807,-0.00642765710067
Industrial District,0.00462131345078,0.0123878960548,0.112069384088
Olympic Manor,0.147752972473,-0.0747267438654,0.143555463444
Georgetown,-0.0976725944813,-0.000781892698158,-0.0635213955981
Blue Ridge,0.0710082559012,-0.0460200387346,0.0725660548866
Portage Bay,-0.12213398929,-0.140597080144,-0.112985693887
Hawthorne Hills,0.0915011977772,-0.116840123503,-0.0240335614345
Broadmoor,0.0426719149571,-0.13889937339,0.234587539545
Sand Point,1.48008785553e-17,0.0427783013027,-9.28156626342e-18
Atlantic,0.0351125213283,0.0265677584222,0.0175128895235
Pioneer Square,-0.163575891719,-0.0336856011858,0.0767539644028
Denny-Blaine,0.131200720964,-0.130381420264,-0.0231504149737
Queen Anne,-0.0994659828228,-0.115763388881,-0.0599489510067
West Seattle,0.0289160216955,0.0166348880045,0.0309110682363
Capitol Hill,1.48008785553e-17,7.06341177129e-18,-9.28156626342e-18
