married_kids_homes-single condo rent kids,50s rich big homes - large commute medium homes family,single 20s30s cheap old small commute - old people widows
-6.01840136593,0.833756722023,2.91140321085
3.97276096997,2.98741900458,-0.393024812934
3.82275144898,5.35525022578,0.0447251100647
2.73419985055,-5.93720637705,1.25588477919
-3.41478421786,-2.16594530784,-1.18081514205
-0.0484069817983,1.72918194841,0.946779604708
-7.00059780347,-0.342880051152,-3.20461280963
-5.74038999237,-0.697792643433,-1.92831649485
-2.74783318182,-0.398065939498,-2.86927456245
-1.83595055056,2.10068791445,-0.941297670803
1.01415798314,3.18893631122,2.14317042895
-3.84475045165,-0.967117473759,1.09697318897
7.33660777748,-6.881010273,-2.00276352111
2.50184908038,1.18573203475,-1.53188968004
1.40055322262,-8.60081614071,2.18452965519
2.85504986067,-3.99528061575,-3.71075322484
4.89174559385,4.66885355997,-0.0629849197717
0.429416452625,0.105308644061,-4.13410117092
0.227817190223,5.96704970617,-2.44290297327
1.57780836779,-0.360783711858,0.176684542716
-3.77158358999,-0.799821175356,-5.98666680653
0.902346367243,1.43363575082,-2.55478673545
1.36878046492,1.40815546375,0.0142364352785
-10.9332103681,-1.3832568157,2.97445762552
-1.77369280318,2.24174862937,5.27291862746
4.130083515,-0.531980203751,3.13013445163
-0.318708308842,2.55820286013,1.77843771536
1.46347926988,4.54480017121,-1.40902951535
-8.72021808795,-5.6714438672,3.75026266495
-8.74856795303,-2.0435713042,0.103299005071
-11.0883482094,-0.420238823025,2.18217077334
0.712242104928,-1.06726330044,2.11509624339
-4.63558830163,-0.835234456895,6.73314226811
0.727548435031,-1.32407097633,-2.22379270491
-8.72536733458,-2.92090815198,0.856561902954
6.50410466435,-0.789566176836,1.72702843371
2.10527221302,1.82398296935,0.227234970428
4.21889354951,-5.97360652,-5.29362963571
1.42236960981,2.8199141257,2.34228118811
-0.356997420562,-0.663577129432,-3.89298828978
-5.69396728821,-3.05301080514,1.40480269319
-3.99033764714,-5.68015728012,-3.8073011952
-0.0176218584049,0.20015123105,0.0184966627648
6.18561706578,0.0184444851605,0.885178937972
-1.34741412613,-0.0117598791146,0.791289190467
1.98871146882,-3.38441349547,0.0355674581141
-6.52715412118,1.44733610859,-7.06240433555
0.0858249203589,2.77100028036,0.535784758743
-7.83605398613,-0.271019871913,2.22773865489
6.9626689427,-5.66634310134,-0.785168102019
1.0375333254,3.18690589702,2.40564662944
5.70743466656,-2.56518127333,2.64985905456
0.428536783004,-1.07622313421,2.211929265
-3.68850117915,2.07802043539,3.72808167503
-4.39821210166,3.33749410075,0.00605863786311
0.466019290248,1.24095052799,-0.865817520289
4.39154278097,0.597682982587,-0.115456315163
-2.37704993785,0.853993253088,-5.12986559884
4.02513409122,-0.234037690469,-1.02725865344
4.81321387112,-2.38965104814,-0.791385075042
7.16173164326,-2.93473484731,2.0211346444
4.08049563555,-1.95001841456,1.05180730548
6.48224536385,-4.10809914727,2.45985485277
-3.00884617464,-0.975776753845,-2.63061884121
2.26374760436,-0.972960730852,-0.0156739889328
5.21323856009,-0.858244840994,3.09605824624
6.29716121455,1.93419028097,2.15984638571
2.57064760902,4.7450016505,-0.996684730412
1.6477560056,4.54709145394,0.254787641958
0.20344013688,6.37628091748,0.9942553398
-2.70123385213,2.76031028173,-1.00276029479
-0.0423760163184,5.78943530782,-1.72831762524
3.01962624032,4.06616451311,-1.18324791383
